sample_id,video_id,clip_id,duration_seconds,audio_duration_seconds,video_duration_seconds,audio_sample_rate,fps,width,height,label,annotation,text,raw_media_checked,feature_status,alignment_status
-3g5yACwYnA$_$2,-3g5yACwYnA,2,14.234,9.230998,9.39401,44100,30/1,1280,720,0.0,Neutral,Key Polymer brings a technical aspect to our operation that we don't have internally.,True,待自主提取,待时间对齐
-3g5yACwYnA$_$3,-3g5yACwYnA,3,19.273,14.328005,14.388997,44100,30/1,1280,720,0.0,Neutral,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",True,待自主提取,待时间对齐
-3g5yACwYnA$_$9,-3g5yACwYnA,9,16.234,8.696009,8.816992,44100,30/1,1280,720,0.6666666865348816,Positive,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",True,待自主提取,待时间对齐
-3g5yACwYnA$_$13,-3g5yACwYnA,13,8.767,5.399002,5.513997,44100,30/1,1280,720,0.6666666865348816,Positive,They've been able to find solutions or at least bring some answers to the table.,True,待自主提取,待时间对齐
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,10.937,7.788005,7.867969,44100,30/1,320,240,0.0,Neutral,Noncompliance can result in legal liability to you and to the school district in which you are employed.,True,待自主提取,待时间对齐
-571d8cVauQ$_$0,-571d8cVauQ,0,5.167,4.991995,5.066667,44100,30/1,486,360,0.0,Neutral,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",True,待自主提取,待时间对齐
-571d8cVauQ$_$5,-571d8cVauQ,5,18.5,15.115011,15.272982,44100,30/1,486,360,0.3333333432674408,Positive,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",True,待自主提取,待时间对齐
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,8,16.58,12.738005,12.805013,44100,30/1,480,270,-1.0,Negative,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.,True,待自主提取,待时间对齐
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0,6.9,6.757007,6.833333,44100,30/1,1280,720,1.0,Positive,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",True,待自主提取,待时间对齐
-9y-fZ3swSY$_$4,-9y-fZ3swSY,4,9.334,2.665011,2.821029,44100,30/1,1280,720,0.0,Neutral,I’ve seen this in US or in the US,True,待自主提取,待时间对齐
-9y-fZ3swSY$_$8,-9y-fZ3swSY,8,10.775,4.917007,4.988997,44100,30/1,1280,720,1.6666666269302368,Positive,That’s a more decent and more polite way to call a lady,True,待自主提取,待时间对齐
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,2,27.3,22.405011,22.511003,44100,30/1,1280,720,0.6666666865348816,Positive,"The perfect soul mate to the Clarisonic Spot Therapy Brush, this gentle, Ph balanced and hydrating exfoliant containing jojoba and acai fruit oils and bamboo and prickly bear extracts deliver intense healing, while smooth granules buff away dead, dry skin cells.",True,待自主提取,待时间对齐
-HeZS2-Prhc$_$2,-HeZS2-Prhc,2,15.834,8.150998,8.261979,44100,30/1,360,360,0.6666666865348816,Positive,The August jobs report is out and it was seen overall as solid but not great.,True,待自主提取,待时间对齐
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,8.151,3.916009,3.982031,44100,30/1,1280,720,0.0,Neutral,"” [President Ronald Reagan:] ""Look at the record",True,待自主提取,待时间对齐
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,11.467,5.543991,5.652995,44100,30/1,1280,720,-1.0,Negative,""" President Ronald Reagan blamed the professional bureaucracy of education",True,待自主提取,待时间对齐
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,6,6.767,3.256009,3.358008,44100,30/1,1280,720,0.0,Neutral,"And in part, Al Shanker did too",True,待自主提取,待时间对齐
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,11.434,7.637007,7.733984,44100,30/1,1280,720,-0.3333333432674408,Negative,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,True,待自主提取,待时间对齐
-I_e4mIh0yE$_$1,-I_e4mIh0yE,1,10.767,7.443991,7.622005,44100,30/1,640,360,-0.6666666865348816,Negative,In the United States we don't punish failure to the degree to which failure is punished in Europe.,True,待自主提取,待时间对齐
-I_e4mIh0yE$_$3,-I_e4mIh0yE,3,9.3,8.995011,9.163021,44100,30/1,640,360,0.6666666865348816,Positive,"It's perceived that you have actually learned something, over the course of your carreer, and that you won't make the mistake twice.",True,待自主提取,待时间对齐
-MeTTeMJBNc$_$0,-MeTTeMJBNc,0,9.334,9.218005,9.3,44100,30/1,470,360,0.3333333432674408,Positive,"Okay, what happens at this point after we've taken this brief walk down memory lane, is the presentation of the gift.",True,待自主提取,待时间对齐
-MeTTeMJBNc$_$7,-MeTTeMJBNc,7,17.367,10.411995,10.516992,44100,30/1,470,360,1.3333333730697632,Positive,"Maybe you could find a picture of the couple from their wedding or sometime in their life, or maybe even a current picture and have it put in a beautiful frame.",True,待自主提取,待时间对齐
-MeTTeMJBNc$_$13,-MeTTeMJBNc,13,7.467,5.255011,5.430013,44100,30/1,470,360,0.3333333432674408,Positive,"It just needs to be a simple statement, and then you present the gift.",True,待自主提取,待时间对齐
-NFrJFQijFE$_$1,-NFrJFQijFE,1,9.12,5.659002,5.746,44100,25/1,1280,720,0.3333333432674408,Positive,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,True,待自主提取,待时间对齐
