sample_id,true_polarity,predicted_polarity,true_intensity,predicted_intensity,absolute_error,classification_error,classification_regression_sign_conflict,text
102858$_$4,2,0,3.0,-0.5792463421821594,3.5792462825775146,True,False,"This one disc contains not only Garfield, not only Garfield's Halloween, Halloween (stutter) Adventure, a special I've I've (stutter) watched almost every year since I was about four, but it also has Garfield's (stutter) Thanksgiving, which is a pretty funny little short, funny little special, and A Garfield's Christmas, which is just absolutely awesome"
121128$_$5,2,0,3.0,-0.48616281151771545,3.4861629009246826,True,False,(umm) This movie was excellent
102858$_$6,2,0,2.6666667461395264,-0.4930605888366699,3.1597273349761963,True,False,It's probably three of the best (stutter) holiday specials made in the last (uhh) let's see
241629$_$3,2,0,2.3333332538604736,-0.7624499201774597,3.095783233642578,True,False,(uhh) Knocked Up was a hilarious movie that I really enjoyed and (uhh) was expecting something along that lines for this movie
qmMSumMloAs$_$2,2,0,2.6666667461395264,-0.05286211892962456,2.719528913497925,True,False,So Thank you to everyone who has donated it has been an amazing journey so far and I can't wait... there's 18 days left and... It's gonna rock!
TWszOxkOV0w$_$1,0,2,-2.3333332538604736,0.37645915150642395,2.709792375564575,True,False,And I think I reflect the outrage of the ordinary citizen who feels very strongly about the notion that we were told that CEOs require those kinds of pay packages because they are tied to performance.
f_ZJ7L14oYQ$_$21,2,0,2.0,-0.6245279908180237,2.624527931213379,True,False,They just so much more convenient than stupid boots that take forever to put on and just aren't comfortable!
102858$_$20,2,0,2.0,-0.6102802753448486,2.6102802753448486,True,False,"This thing, if you guys don't have it, you're going to need it for your holiday DVD list"
f_ZJ7L14oYQ$_$27,2,0,1.6666666269302368,-0.9130428433418274,2.579709529876709,True,False,So what I found is that I just pop these over my tennis shoes and I don't have to worry about it anymore.
266791$_$23,0,0,-2.6666667461395264,-0.1696385145187378,2.497028350830078,False,False,"As you're watching the movie it looks like they're actually looking at cue cards and reading these words for the first time, that's how the delivery is"
130456$_$3,2,0,2.3333332538604736,-0.13082747161388397,2.464160680770874,True,False,"(uhh) It's, out of five stars, I would give it a five"
2S00zYaVrtc$_$10,0,0,-2.6666667461395264,-0.20548295974731445,2.461183786392212,False,False,The pepper spray incident was one that I will deeply regret for the rest of my life.
121128$_$10,2,0,2.0,-0.4437870681285858,2.443787097930908,True,False,(umm) But I still think that kids would enjoy it equally as well
Vuay0mVKkik$_$3,0,2,-2.0,0.43933987617492676,2.4393398761749268,True,False,And when I was going to school it was really difficult for me to find avenues and resources to be able to reach higher education.
xivYoEUQ5sk$_$5,2,2,2.6666667461395264,0.27130845189094543,2.3953583240509033,False,False,"One of the best things about it is that while Philisophy doesn't seem like it's applicable to real life situations, everything that you learn in this program, you use on a day-to-day basis"
qmMSumMloAs$_$1,2,2,2.3333332538604736,0.021763667464256287,2.3115696907043457,False,False,"And I am here to tell you that we are up to, over 50% funded with the Kickstarter!!! That's amazing!"
273539$_$3,0,0,-2.6666667461395264,-0.3667241632938385,2.2999424934387207,False,False,(umm) xxx seen this with a few of my friends and I was much more soft having done so (umm) this film has little substance
237009$_$11,0,0,-3.0,-0.7101132869720459,2.289886713027954,False,False,"(umm), it should be rated junk"
188343$_$13,2,0,1.0,-1.2745699882507324,2.2745699882507324,True,False,(uhh) But (uhh) like I said it might be (uhh) good for a laugh (umm) if you really like monster movies or if you (uhh) like Japanese films
130456$_$11,2,0,1.6666666269302368,-0.6064302921295166,2.273097038269043,True,False,"It it (stutter) involves like, (uhh) theoretical physics and just so much stuff and Donnie Darko no matter how weird he is is still really funny"
TXCXFYIc3Yo$_$6,2,0,1.3333333730697632,-0.9302911758422852,2.263624668121338,True,False,"And I said, honey don't be afraid, just grab a hold of daddy's hand."
32681$_$3,0,0,-2.6666667461395264,-0.4633641242980957,2.2033026218414307,False,False,"So (umm) I decided to pay ten dollars, you know, go to the movie theater and see it and (uhh) gotta tell you that I'm extremely disappointed in the movie"
252998$_$7,2,0,1.3333333730697632,-0.7281789183616638,2.0615122318267822,True,False,(uhh) I think the best line in the movie comes from Tori Spelling when she looks at Parker Posey and says no you're not insane you're just incredibly spoiled
237009$_$7,0,0,-3.0,-0.9392876625061035,2.0607123374938965,False,False,(umm) I was just greatly disappointed
erNDEjQeox8$_$12,2,2,2.0,0.014162130653858185,1.9858378171920776,False,False,"And when people that you appreciate say something like that and actually put their money where their mouth is, it's something very special, something very special happens when when they do it for some people, for most people even if."
102858$_$10,2,1,2.0,0.04126620292663574,1.9587337970733643,True,False,Regardless (umm) all three specials are just awesome
rojyUp4FPSg$_$23,2,2,2.3333332538604736,0.38158538937568665,1.9517478942871094,False,False,So this is definitely something good.
TXCXFYIc3Yo$_$16,2,2,2.0,0.0946069285273552,1.905393123626709,False,False,"If you need knowledge, if you need understanding... I'm telling you, go to Jesus, ask of Him."
89835$_$4,0,0,-2.6666667461395264,-0.7818171381950378,1.8848495483398438,False,False,"(umm) {clears throat} The acting in this one is not really acting so much as one person fights and beats the crap out of others, (umm) the other star of the movie makes loud-mouth, (uhh) off-color remarks through the entire thing"
rojyUp4FPSg$_$18,2,2,2.5,0.6405371427536011,1.859462857246399,False,False,This could be your primary scent to wear after you go to the gym or something.
